# Generated from the pinned Grok Bot 0.18 reference tree. Do not delete rows; update status/evidence as modules land.
# Reference: b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634
grok_path,grok_responsibility,evidence_anchor,ios_target_path,target_runtime,parity_class,implementation_status,test_evidence,replaces_ios_path,adaptation_reason
frontend/index.html,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/index.html,frontend/index.html,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/component-names.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/component-names.json,frontend/manifests/component-names.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/computer-shell-evidence.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/computer-shell-evidence.json,frontend/manifests/computer-shell-evidence.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/conversation-evidence.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/conversation-evidence.json,frontend/manifests/conversation-evidence.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/mermaid-immutable-fingerprints.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/mermaid-immutable-fingerprints.json,frontend/manifests/mermaid-immutable-fingerprints.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/mermaid-public-candidate-lock.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/mermaid-public-candidate-lock.json,frontend/manifests/mermaid-public-candidate-lock.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/mermaid-public-package-closure.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/mermaid-public-package-closure.json,frontend/manifests/mermaid-public-package-closure.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/renderer-bootstrap.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/renderer-bootstrap.json,frontend/manifests/renderer-bootstrap.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/renderer-runtime-assets.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/renderer-runtime-assets.json,frontend/manifests/renderer-runtime-assets.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/semantic-symbols.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/semantic-symbols.json,frontend/manifests/semantic-symbols.json,SwiftUI,direct-equivalent,mapped,,,
frontend/manifests/ui-evidence-anchors.json,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/manifests/ui-evidence-anchors.json,frontend/manifests/ui-evidence-anchors.json,SwiftUI,direct-equivalent,mapped,,,
frontend/README.md,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/README.md,frontend/README.md,SwiftUI,direct-equivalent,mapped,,,
frontend/src/dev/dev-shell.css,native renderer / interaction surface,b-nnett/grok-bot-0.18-reconstructed@a9f633e09d49a85829b8236331b9e21f7e612634:frontend/src/dev/dev-shell.css,frontend/src/dev/dev-shell.style.swift,SwiftUI,direct-equivalent,mapped,,,
